,Distance
440,4.8081000000000005
441,0.7148
442,0.8804
443,1.7044000000000001
444,1.2123
445,1.7495
446,2.4368000000000003
447,2.5692
448,0.6651
449,1.1884000000000001
450,2.3552
451,1.0875
452,1.0875
453,1.3896
454,1.0255
455,0.9778
456,1.8317
457,2.0489
458,0.43110000000000004
459,2.3821999999999997
460,0.8328
461,1.0916
462,1.7519
463,2.0855
464,2.0489
465,0.9021
466,1.0605
467,0.7918
468,0.32289999999999996
469,0.7061000000000001
470,0.5075
471,0.6446000000000001
472,0.8634
473,0.6193
474,0.5869
475,1.1445999999999998
476,0.6277
477,0.6277
478,0.7918
479,0.8763
480,0.7387
481,1.0397
482,0.702
483,0.702
484,0.809
485,0.8646
486,1.3799000000000001
487,1.4099000000000002
488,1.4099000000000002
489,1.1687
490,1.3269000000000002
491,0.8646
492,1.227
493,0.8646
494,0.8992
495,1.4099000000000002
496,1.0397
497,1.0364
498,0.8448
499,0.4957
500,1.4099000000000002
501,0.9753999999999999
502,1.375
503,0.4753
504,1.4099000000000002
505,1.3799000000000001
506,1.1685999999999999
507,0.9372999999999999
508,0.6568999999999999
509,0.6986
510,0.7481
511,0.9225
512,12.1776
513,8.7499
514,11.9555
515,7.9474
516,9.217799999999999
517,11.8395
518,8.8985
519,7.7528999999999995
520,8.1801
521,10.5446
522,7.3084
523,10.8857
524,12.5587
525,11.799299999999999
526,8.1975
527,11.648700000000002
528,12.2652
529,12.305299999999999
530,6.964899999999999
531,1.4915999999999998
532,0.9639
533,2.5694
534,1.3437000000000001
535,1.7384000000000002
536,0.9622
537,1.3516
538,1.9544000000000001
539,1.6071
540,1.2075
541,1.2075
542,1.8954000000000002
543,2.3946
544,6.285699999999999
545,3.2771999999999997
546,6.2429
547,5.9991
548,5.9269
549,7.0317
550,4.7056000000000004
551,2.7166
552,4.1613
553,5.8948
554,3.1919
555,6.3463
556,5.4998000000000005
557,0.4802
558,0.3518
559,0.8713
560,0.7735
561,0.5766
562,0.8501000000000001
563,3.7876
564,2.458
565,2.5476
566,2.4395
567,1.9786
568,2.7525
569,2.3891999999999998
570,3.2651999999999997
571,1.5966
572,2.7965
573,1.5807
574,4.1618
575,6.3813
576,3.9892
577,9.6025
578,8.1171
579,6.198300000000001
580,4.8911999999999995
581,1.6047
582,0.5598
583,1.7682
584,1.2158
585,1.2978
586,1.6040999999999999
587,1.3605999999999998
588,1.1785999999999999
589,0.6414
590,1.6040999999999999
591,2.1301
592,1.3852
593,1.2087999999999999
594,1.432
595,1.4564000000000001
596,1.7555
597,1.431
598,5.0978
599,1.2221
600,0.9658
601,6.777699999999999
602,5.735
603,1.9365999999999999
604,1.1147
605,2.8571999999999997
606,2.6746999999999996
607,2.4081
608,2.1176999999999997
609,3.2746999999999997
610,1.8015
611,0.9602
612,0.5248999999999999
613,1.6898
614,1.8444
615,1.8260999999999998
616,0.31110000000000004
617,0.7209
618,1.6898
619,1.3868
620,1.1029
621,0.9196
622,0.8177000000000001
623,1.2978
624,0.8598
625,0.6752
626,2.9667
627,1.3008
628,0.7882
629,0.6407999999999999
630,1.7069
631,1.6345
632,0.9675
633,1.7052
634,0.9425
635,0.8751
636,1.0985999999999998
637,1.3073
638,1.2145
639,1.321
640,0.8647
641,2.1348000000000003
642,3.9831999999999996
643,0.9989
644,1.02
645,0.7176
646,0.8324
647,0.7517999999999999
648,1.0663
649,0.42919999999999997
650,0.2326
651,0.6255
652,0.32830000000000004
653,0.6634
654,1.2263
655,0.7614
656,0.6866
657,0.7677
658,0.6726
659,1.2532999999999999
660,0.4888
661,0.556
662,0.9127000000000001
663,1.3509
664,0.5468
665,4.2008
666,1.7477
667,4.8001000000000005
668,12.8844
669,13.5555
670,4.591
671,2.8859
672,4.3795
673,2.1694
674,4.6101
675,3.1727
676,3.3989000000000003
677,3.523
678,3.6345
679,3.0052
680,3.4408000000000003
681,2.9345
682,3.1361999999999997
683,2.8915
684,1.4457
685,0.9623999999999999
686,1.6208
687,0.5656
688,1.5880999999999998
689,0.7361
690,1.4569
691,1.8286
692,1.5880999999999998
693,1.2681
694,0.1457
695,1.5880999999999998
696,1.3874000000000002
697,0.3945
698,0.2919
699,0.3663
700,1.4763
701,1.5869000000000002
702,0.8977
703,0.7736000000000001
704,0.9993
705,0.6507000000000001
706,1.957
707,0.4171
708,0.7474
709,0.5127
710,0.6613
711,0.6613
712,0.6613
713,0.307
714,0.6231
715,0.8038
716,0.43610000000000004
717,1.4944000000000002
718,1.3684
719,0.6951
720,0.3322
721,5.11
722,2.0265
723,1.7877
724,2.2512
725,2.2263
726,0.8907
727,2.1107
728,1.899
729,1.8217
730,1.7707
731,1.958
732,0.8685
733,1.7287000000000001
734,0.8907
735,2.1130999999999998
736,2.2512
737,2.0072
738,2.0072
739,2.0173
740,2.1107
741,2.562
742,2.562
743,2.192
744,0.8639
745,1.5563
746,2.0173
747,2.2592
748,2.1085
749,2.1107
750,2.0153
751,2.0153
752,2.5219
753,1.7629000000000001
754,2.1207
755,2.0265
756,1.8913
757,2.0265
758,2.0173
759,2.2512
760,1.708
761,1.877
762,1.7410999999999999
763,1.7925
764,0.6584
765,0.662
766,0.6403
767,0.662
768,1.4915999999999998
769,1.2612
770,1.4277
771,1.6477
772,1.433
773,1.5884
774,1.3165
775,1.7446
776,2.7422
777,4.5286
778,4.7085
779,1.8645
780,2.4043
781,6.6306
782,5.9038
783,13.327200000000001
784,14.8979
785,13.8634
786,0.6129
787,1.3973
788,0.75
789,2.9404
790,2.9021999999999997
791,4.206
792,1.7708
793,1.6531
794,2.5410999999999997
795,1.1295
796,2.5481
797,3.115
798,2.2151
799,1.1755
800,2.155
801,1.5283
802,0.9023
803,1.8955
804,8.3728
805,6.4407
806,4.1432
807,13.4547
808,3.1555999999999997
809,5.0876
810,2.7264
811,5.9688
812,8.7449
813,3.7222
814,7.1762
815,4.1261
816,13.424299999999999
817,14.388200000000001
818,10.7217
819,5.2394
820,1.7086
821,10.4369
822,8.719299999999999
823,5.6048
824,3.6866
825,1.6153
826,6.2577
827,5.115600000000001
828,5.5578
829,2.3593
830,5.9338999999999995
831,6.3211
832,8.1423
833,2.4098
834,14.735299999999999
835,3.8021
836,11.7195
837,12.2591
838,3.6134
839,14.6881
840,6.771
841,4.0743
842,3.8005
843,13.0718
844,3.605
845,2.127
846,0.9469
847,0.6121
848,0.36569999999999997
849,0.9812000000000001
850,0.8769
851,0.5983999999999999
852,0.8198
853,2.0298
854,1.3387
855,1.7119000000000002
856,1.733
857,1.5848
858,2.0881999999999996
859,2.4936
860,1.7530999999999999
861,1.6741
862,2.2528
863,2.2598000000000003
864,2.0881999999999996
865,2.4936
866,2.2361
867,2.0881999999999996
868,2.4591
869,2.0881999999999996
870,1.7141
871,1.2742
872,3.3994
873,1.1650999999999998
874,1.708
875,0.345
876,1.0312999999999999
877,5.293699999999999
878,5.2904
879,4.5477
880,3.5997
881,3.2512
882,5.2228
883,3.3464
884,5.0112
885,3.7558000000000002
886,3.3064
887,4.896199999999999
888,3.8343000000000003
889,4.8775
890,3.9084
891,3.7089000000000003
892,4.2936000000000005
893,3.2481999999999998
894,0.8962
895,0.9285
896,1.3909
897,1.2635
898,1.3727
899,0.9285
900,0.9081
901,0.7347
902,1.4775999999999998
903,1.754
904,0.9652999999999999
905,1.3660999999999999
906,1.7250999999999999
907,2.3633
908,1.5655999999999999
909,2.4041
910,1.1942000000000002
911,1.0600999999999998
912,1.8231
913,1.8371
914,1.5101
915,0.698
916,1.1925999999999999
917,2.7481
918,2.0656999999999996
919,3.1866
920,1.6576
921,3.3861999999999997
922,8.1974
923,6.907100000000001
924,7.3768
925,6.5611999999999995
926,7.474600000000001
927,2.0743
928,2.2676999999999996
929,1.4364000000000001
930,4.7832
931,1.6793
932,3.6111999999999997
933,1.1730999999999998
934,0.5404
935,0.8946000000000001
936,1.3551
937,2.5075
938,1.1108
939,1.4789
940,1.5726
941,0.8326
942,0.7895
943,1.9506
944,2.3943000000000003
945,1.2275999999999998
946,2.312
947,1.5776
948,8.9487
949,4.5635
950,4.414
951,3.064
952,2.9785999999999997
953,1.5829000000000002
954,4.0146999999999995
955,1.648
956,2.9958
957,3.4455
958,2.5782
959,0.311
960,3.9663000000000004
961,3.9663000000000004
962,3.9663000000000004
963,3.9766999999999997
964,3.2134
965,2.4246999999999996
966,1.6921
967,3.2269
968,2.4125
969,2.525
970,2.6
971,5.027699999999999
972,2.8499
973,4.607399999999999
974,2.694
975,2.1341
976,1.6678
977,1.6685
978,3.4674
979,3.0271
980,2.22
981,2.4168000000000003
982,2.065
983,4.2124
984,3.4504
985,3.6766
986,4.2775
987,3.2716999999999996
988,3.9012
989,2.3999
990,3.7934
991,2.7712
992,2.7712
993,2.1344000000000003
994,2.258
995,3.6666999999999996
996,2.1344000000000003
997,3.2439
998,2.1546
999,2.1875
