,Distance
252,1.6240999999999999
253,1.2935
254,0.9295
255,1.0391
256,1.4643
257,0.8125
258,0.6339
259,1.7359
260,1.1645999999999999
261,1.6240999999999999
262,1.2794
263,0.9917999999999999
264,0.4766
265,0.6166
266,1.733
267,2.1679
268,0.3891
269,1.4576
270,0.7556
271,3.3905
272,2.7196
273,1.9577
274,4.2606
275,3.6502
276,3.4191
277,4.8696
278,2.732
279,2.1699
280,4.7948
281,0.9389
282,1.6148
283,0.789
284,0.8064
285,0.6197
286,1.6881
287,5.2219
288,2.8435
289,2.2331999999999996
290,4.0245999999999995
291,0.4957
292,0.7145
293,1.4939
294,1.1300999999999999
295,0.5001
296,1.5869000000000002
297,1.8182
298,1.8477999999999999
299,2.7498
300,3.9707
301,1.579
302,2.3679
303,2.1714
304,2.53
305,2.53
306,1.6036
307,2.007
308,1.4078
309,1.0673
310,1.2330999999999999
311,1.1955
312,0.49960000000000004
313,0.448
314,0.7994
315,1.1845
316,0.6587999999999999
317,1.3388
318,0.8248
319,1.6118
320,0.8199
321,1.6554
322,1.3094000000000001
323,0.3271
324,1.6875
325,1.6554
326,1.2363
327,2.0236
328,13.8526
329,8.5664
330,4.1365
331,14.2043
332,15.878200000000001
333,6.8338
334,3.9613
335,15.736
336,7.418
337,4.599399999999999
338,8.0467
339,15.4545
340,7.9737
341,5.9962
342,3.6895
343,7.9421
344,6.4608
345,9.4937
346,7.4063
347,9.2192
348,17.1388
349,10.5095
350,9.648299999999999
351,10.155100000000001
352,4.2947
353,6.9684
354,5.5898
355,11.117
356,5.1075
357,6.962
358,4.455100000000001
359,11.181299999999998
360,
361,6.740600000000001
362,8.8349
363,17.9575
364,10.415
365,8.9725
366,9.4932
367,4.8183
368,8.1173
369,16.9249
370,4.3107
371,8.6955
372,8.8211
373,2.9771
374,13.8721
375,17.8161
376,16.5817
377,9.386700000000001
378,6.643800000000001
379,17.042900000000003
380,12.4587
381,9.9037
382,4.8267
383,0.7389
384,0.7702
385,1.0252999999999999
386,0.2132
387,1.9222000000000001
388,1.1910999999999998
389,1.0038
390,1.9296
391,0.4335
392,1.6125
393,0.9698
394,0.9141
395,0.967
396,0.3075
397,0.4011
398,2.2391
399,3.6919
400,2.8803
401,2.6408
402,3.7238
403,2.1706
404,1.1294000000000002
405,3.4751
406,2.1275
407,2.0635
408,0.7452000000000001
409,2.7096999999999998
410,1.8765999999999998
411,0.6634
412,2.6141
413,1.7207999999999999
414,0.93
415,1.3755
416,1.1722000000000001
417,2.1133
418,1.9542
419,1.9125
420,0.8228
421,1.2096
422,0.9747
423,2.7260999999999997
424,1.2214
425,1.5982
426,1.8423
427,2.5369
428,1.8808
429,1.1491
430,0.3788
431,0.5043
432,1.0058
