sa2_code,sa2_name,property_type,extracted_price,ERP_2021,ERP_2026,OCC_2021,OCC_2026,population_growth_2021_2026,population_density_persons_per_km2_2023,Median,Mean,Top 10%,Gini coefficient,IPR,HPI,PDI,GII,Affordability_Score
213031349,Maribyrnong,House,1.0,12712.0,13956.16228437951,0.8933354378492074,0.9,9.78730557252604,2440.7,57977,71620,30.9,0.456,1.0,0.9967749526854845,0.008906699799716632,0.7768115942028987,0.7784949851858786
213051361,Hoppers Crossing - North,House,1.0,18657.0,18830.07064165702,0.9615927663329052,0.945,0.9276445390846388,1678.4,51961,59186,27.0,0.412,0.896204068128259,0.9984405195738049,0.013226528160313684,0.9043478260869567,0.7510938713642035
209041225,Whittlesea,House,2.0,10763.0,22798.76041266561,0.9718543826171208,0.955,111.82533134503028,47.1,54522,65036,29.3,0.434,0.47004723348198246,0.9949950095737847,0.49226225188861233,0.8405797101449278,0.6690278176571436
209041225,Whittlesea,House,2.0,10763.0,22798.76041266561,0.9718543826171208,0.955,111.82533134503028,47.1,54522,65036,29.3,0.434,0.47004723348198246,0.9949950095737847,0.49226225188861233,0.8405797101449278,0.6690278176571436
213051579,Manor Lakes - Quandong,House,2.0,10791.0,14317.90664857341,0.9691946924112694,0.96,32.68377952528412,166.6,60503,67905,24.5,0.392,0.5216432664378403,0.9950377519658105,0.13873536844971093,0.9623188405797102,0.6311475899127925
213051468,Werribee - West,House,2.0,22692.0,36801.18976842628,0.9537420166248072,0.95,62.17693358199489,220.5,56515,63574,25.7,0.398,0.48724016002955395,0.9992860624211772,0.104674507769154,0.9449275362318842,0.610109537915194
213051466,Point Cook - South,House,2.0,19384.0,19970.47500421174,0.9463854597410692,0.9300000000000002,3.0255623411666384,2147.9,63066,74388,26.8,0.427,0.5437533872313304,0.9986821229054641,0.010203261106494766,0.8608695652173913,0.6052336005072094
210051445,Mickleham - Yuroke,House,2.0,23795.0,37788.706882085,0.9447039416139608,0.94,58.80944266478253,451.4,53968,59815,25.2,0.384,0.4652680657412125,0.9994930400833937,0.05082221130587208,0.9855072463768116,0.5946703052203587
210051445,Mickleham - Yuroke,House,2.0,23795.0,37788.706882085,0.9447039416139608,0.94,58.80944266478253,451.4,53968,59815,25.2,0.384,0.4652680657412125,0.9994930400833937,0.05082221130587208,0.9855072463768116,0.5946703052203587
211051286,Yarra Valley,House,690.0,16947.0,17396.04694985452,0.9306301644058268,0.93,2.649713517758428,23.2,49336,56302,27.5,0.427,0.0009383007695801351,0.9981405951961477,1.0,0.8608695652173913,0.5859044553884155
